id;Name;TECNOLOGIA;RAPIDEZ;ALTITUDE;TEMPO;rxlevel_4G;x_;y_
205;-93 4G;4G;38 km/h;910m;2023.08.22_10.40.35;-93;-44.2274942;-21.1098448
206;-85 4G;4G;38 km/h;910m;2023.08.22_10.40.35;-85;-44.2274942;-21.1098448
207;-85 4G;4G;37 km/h;909m;2023.08.22_10.40.36;-85;-44.2275278;-21.1099361
208;-85 4G;4G;37 km/h;909m;2023.08.22_10.40.37;-85;-44.2275668;-21.110025
209;-85 4G;4G;37 km/h;909m;2023.08.22_10.40.38;-85;-44.2276041;-21.1101139
210;-85 4G;4G;36 km/h;908m;2023.08.22_10.40.39;-85;-44.2276384;-21.1102012
211;-82 4G;4G;32 km/h;907m;2023.08.22_10.40.41;-82;-44.2276997;-21.1103596
212;-85 4G;4G;37 km/h;906m;2023.08.22_10.40.43;-85;-44.2277534;-21.1105317
213;-85 4G;4G;39 km/h;906m;2023.08.22_10.40.44;-85;-44.2277938;-21.1106235
214;-87 4G;4G;43 km/h;906m;2023.08.22_10.40.45;-87;-44.227837;-21.1107214
215;-87 4G;4G;44 km/h;905m;2023.08.22_10.40.46;-87;-44.2278949;-21.1108213
216;-87 4G;4G;44 km/h;905m;2023.08.22_10.40.47;-87;-44.2279549;-21.1109189
217;-86 4G;4G;44 km/h;904m;2023.08.22_10.40.48;-86;-44.2280167;-21.1110168
218;-86 4G;4G;43 km/h;904m;2023.08.22_10.40.49;-86;-44.228079;-21.1111096
219;-86 4G;4G;42 km/h;903m;2023.08.22_10.40.50;-86;-44.2281387;-21.1112013
220;-83 4G;4G;41 km/h;903m;2023.08.22_10.40.51;-83;-44.2281938;-21.1112924
221;-83 4G;4G;41 km/h;903m;2023.08.22_10.40.52;-83;-44.22825;-21.111384
222;-81 4G;4G;42 km/h;902m;2023.08.22_10.40.53;-81;-44.2283058;-21.1114769
223;-81 4G;4G;42 km/h;902m;2023.08.22_10.40.54;-81;-44.2283626;-21.1115693
224;-81 4G;4G;43 km/h;902m;2023.08.22_10.40.55;-81;-44.2284204;-21.1116621
225;-80 4G;4G;42 km/h;902m;2023.08.22_10.40.56;-80;-44.2284774;-21.1117553
226;-80 4G;4G;42 km/h;902m;2023.08.22_10.40.57;-80;-44.2285342;-21.111848
227;-85 4G;4G;42 km/h;901m;2023.08.22_10.40.58;-85;-44.2285905;-21.1119399
228;-85 4G;4G;42 km/h;901m;2023.08.22_10.40.59;-85;-44.2286466;-21.1120311
229;-84 4G;4G;41 km/h;901m;2023.08.22_10.41.00;-84;-44.2287003;-21.1121213
230;-84 4G;4G;39 km/h;901m;2023.08.22_10.41.01;-84;-44.2287517;-21.1122091
231;-83 4G;4G;37 km/h;901m;2023.08.22_10.41.02;-83;-44.2287985;-21.112292
232;-83 4G;4G;21 km/h;901m;2023.08.22_10.41.04;-83;-44.2288692;-21.1124082
233;-80 4G;4G;19 km/h;901m;2023.08.22_10.41.06;-80;-44.2289197;-21.112491
234;-82 4G;4G;29 km/h;901m;2023.08.22_10.41.08;-82;-44.2289875;-21.112608
235;-78 4G;4G;35 km/h;901m;2023.08.22_10.41.10;-78;-44.2290676;-21.1127615
236;-77 4G;4G;37 km/h;901m;2023.08.22_10.41.12;-77;-44.2291504;-21.1129284
237;-77 4G;4G;38 km/h;901m;2023.08.22_10.41.13;-77;-44.2291871;-21.113018
238;-81 4G;4G;38 km/h;901m;2023.08.22_10.41.14;-81;-44.2292187;-21.1131088
239;-81 4G;4G;38 km/h;901m;2023.08.22_10.41.15;-81;-44.2292465;-21.1132005
240;-86 4G;4G;38 km/h;901m;2023.08.22_10.41.15;-86;-44.2292718;-21.1132917
241;-86 4G;4G;38 km/h;901m;2023.08.22_10.41.16;-86;-44.2292983;-21.1133829
242;-79 4G;4G;36 km/h;900m;2023.08.22_10.41.18;-79;-44.2293265;-21.1134717
243;-96 4G;4G;36 km/h;900m;2023.08.22_10.41.19;-96;-44.2293265;-21.1134717
244;-96 4G;4G;24 km/h;901m;2023.08.22_10.41.20;-96;-44.2293746;-21.1136043
245;-98 4G;4G;21 km/h;901m;2023.08.22_10.41.23;-98;-44.2294113;-21.1137329
246;-100 4G;4G;31 km/h;900m;2023.08.22_10.41.24;-100;-44.2294479;-21.1138759
247;-101 4G;4G;36 km/h;900m;2023.08.22_10.41.26;-101;-44.229489;-21.1140531
248;-101 4G;4G;35 km/h;900m;2023.08.22_10.41.29;-101;-44.2295253;-21.114229
249;-101 4G;4G;34 km/h;900m;2023.08.22_10.41.31;-101;-44.2295601;-21.1144013
250;-103 4G;4G;29 km/h;900m;2023.08.22_10.41.33;-103;-44.2295895;-21.1145591
251;-105 4G;4G;21 km/h;899m;2023.08.22_10.41.35;-105;-44.2296245;-21.1146721
252;-104 4G;4G;17 km/h;899m;2023.08.22_10.41.38;-104;-44.2297397;-21.1147441
253;-104 4G;4G;20 km/h;899m;2023.08.22_10.41.40;-104;-44.2298434;-21.11475
254;-81 4G;4G;20 km/h;899m;2023.08.22_10.41.42;-81;-44.2298434;-21.11475
255;-81 4G;4G;14 km/h;898m;2023.08.22_10.41.43;-81;-44.2299592;-21.1147596
256;-81 4G;4G;22 km/h;898m;2023.08.22_10.41.45;-81;-44.230062;-21.1147713
257;-79 4G;4G;29 km/h;898m;2023.08.22_10.41.47;-79;-44.2302108;-21.1147806
258;-80 4G;4G;29 km/h;898m;2023.08.22_10.41.49;-80;-44.2303674;-21.1147858
259;-80 4G;4G;31 km/h;898m;2023.08.22_10.41.51;-80;-44.2305299;-21.114785
260;-85 4G;4G;35 km/h;898m;2023.08.22_10.41.53;-85;-44.2307137;-21.1147947
261;-85 4G;4G;36 km/h;898m;2023.08.22_10.41.54;-85;-44.2308129;-21.1148009
262;-87 4G;4G;37 km/h;898m;2023.08.22_10.41.55;-87;-44.2309159;-21.114808
263;-87 4G;4G;39 km/h;898m;2023.08.22_10.41.56;-87;-44.2310208;-21.1148158
264;-80 4G;4G;39 km/h;898m;2023.08.22_10.41.57;-80;-44.2311271;-21.114822
265;-80 4G;4G;40 km/h;898m;2023.08.22_10.41.58;-80;-44.231234;-21.114829
266;-85 4G;4G;40 km/h;898m;2023.08.22_10.41.58;-85;-44.2313422;-21.1148347
267;-85 4G;4G;41 km/h;898m;2023.08.22_10.42.00;-85;-44.2314521;-21.1148394
268;-88 4G;4G;41 km/h;898m;2023.08.22_10.42.01;-88;-44.2315626;-21.1148442
